,weekly view,2021 post num,5years post num,보석십자수
sdsd0536,19606.4,60.0,475.0,33.52259862050307
77ended,14257.8,150.0,3081.0,31.963806572673008
ceoseri,9459.2,90.0,2116.0,39.31418279039377
bijoubitna,9261.6,60.0,1021.0,37.12781136608658
rin141206,8611.2,90.0,725.0,31.74975469957163
miminimkkk,8062.2,60.0,1091.0,36.63577600628225
yacomworld,7903.2,30.0,603.0,32.90882961792025
kyakya_4001,7431.2,120.0,1574.0,32.90763152882019
hyukmint,7071.0,60.0,1995.0,22.282017282141005
darksea02,6534.6,90.0,1926.0,33.768024650506106
zellove12,4745.4,120.0,2406.0,32.15960607808198
alway0131,4065.8,30.0,385.0,27.464145193078
amaim30,3969.0,30.0,779.0,32.383749655606806
love3550,3835.6,30.0,195.0,36.31264878731783
leehaksoon,3821.0,90.0,1463.0,20.20848535421497
skyfox1011,3684.4,60.0,1292.0,21.031635262646482
11ansgallry,3642.4,180.0,3623.0,38.49904762921278
melonheads,3606.8,60.0,814.0,31.588188369378674
rudtj7177,3589.6,30.0,295.0,27.45749005056851
sufreesia,3502.2,90.0,1238.0,33.00877415996811
yej45864586,3482.0,90.0,2138.0,31.459774101594018
ksuzy0329,3480.6,60.0,659.0,30.942971172947843
pm0146,3385.2,30.0,802.0,34.76113650702225
ilov2h5691,3303.2,60.0,409.0,32.55568443602879
cyber3578,3288.0,60.0,2082.0,28.19257637104316
meruya9876,3254.0,60.0,1498.0,29.821325125922854
shanesemi,3252.2,60.0,838.0,31.558469854406443
ssbling,3228.6,60.0,1482.0,28.727678565663165
shining1984,3179.8,120.0,1799.0,32.26942355235637
seoji11,3126.0,30.0,543.0,29.542710701017846
starule,2980.4,60.0,1053.0,32.69100987529841
skyjh0902,2949.0,300.0,2266.0,34.49349889624234
tnalalstn,2843.8,90.0,2684.0,31.411423819950244
delphine0327,2670.4,30.0,401.0,43.33622351088484
masejin,2629.8,30.0,607.0,32.51069167218198
yyumun,2507.4,60.0,1500.0,19.353720946307103
tsslove,2292.8,60.0,959.0,31.564510060288974
ddalgi11,2289.0,60.0,1282.0,32.21395437094071
u_ulla,2275.0,90.0,1328.0,32.58499144999009
chloeagit,2159.4,150.0,2057.0,32.34460183468297
ddiamosho,1998.0,60.0,397.0,32.07024377876089
hoegod6004,1974.0,90.0,925.0,33.82164135938628
kwonsh0637,1845.4,150.0,2201.0,22.37140212630578
lizela87,1828.8,90.0,922.0,31.51475387455401
alsl720,1796.8,60.0,654.0,31.51866438156718
xingyuner72,1775.8,90.0,1087.0,34.85335246224801
arom0520,1692.4,60.0,668.0,32.49587729279233
tinynova,1613.8,60.0,1572.0,27.59708173457527
kbearp,1443.4,30.0,503.0,32.30950005057193
s98soon,1424.4,120.0,3571.0,31.700619717257574
mslink,1384.6,30.0,261.0,32.71286521585373
fbwogus123,1383.0,60.0,725.0,23.426054298558437
clamsh,1369.0,30.0,503.0,32.52224728852319
sesirlis,1311.2,60.0,974.0,34.42463397984489
ilook2u,1263.6,90.0,649.0,32.641849251002895
threecolor_cat,1241.0,90.0,655.0,32.31655749065092
vhglglgl,1235.6,30.0,745.0,31.815322937592757
love_yulian,1230.0,150.0,1567.0,32.498110796098516
hyey00n,1220.2,60.0,271.0,30.053054241688958
sj1229,1216.4,30.0,192.0,31.990801209557922
seven-queen,1209.2,60.0,1414.0,24.381820442729023
popopo2013,1202.2,60.0,1455.0,32.437169901555976
o_ogns07,1198.0,60.0,727.0,31.95751456547207
xo-elliott,1127.8,270.0,1926.0,26.198340506163355
wltn786,1125.8,60.0,394.0,32.20375631751063
tncjq5,1125.8,30.0,224.0,38.33053043554183
nora_nori,1125.0,30.0,335.0,42.325204628219566
shinegirl05,1117.4,30.0,728.0,31.298070296976736
hyetaeng,1114.4,60.0,117.0,32.172380230841824
lovmaria,1108.8,30.0,889.0,32.60907960356267
dailycindy,1026.4,60.0,846.0,32.44168244946042
yelloww613,1024.6,30.0,289.0,33.73064919685248
