,item,feature
0,보석십자수,"['hedonic', 'exp', 'kids', 'handmake', 'art']"
1,미니어처,"['hedonic', 'exp', 'kids', 'handmake', 'art']"
2,펀치 니들,"['hedonic', 'exp', 'kids', 'handmake', 'art']"
3,3d펜,"['util', 'exp', 'handmake', 'eleccom', 'art']"
4,3d프린터,"['util', 'eleccom']"
5,가죽공예,"['hedonic', 'exp', 'handmake', 'art']"
6,가방 만들기,"['hedonic', 'exp', 'handmake', 'art']"
7,양모펠트,"['hedonic', 'exp', 'kids', 'handmake', 'art']"
8,프랑스 자수,"['hedonic', 'exp', 'kids', 'handmake', 'art']"
9,스크래치 북,"['hedonic', 'exp', 'kids', 'handmake', 'art']"
10,LED조명,"['util', 'art']"
11,무드등,"['util', 'art']"
12,칼림바,"['hedonic', 'exp', 'music']"
13,오르골,"['hedonic', 'exp', 'music']"
14,발난로,['hedonic']
15,우산,['util']
16,캡슐세제,"['util', 'clean']"
17,전자저울,"['util', 'eleccom', 'measure']"
18,산소포화도 측정기,"['util', 'eleccom', 'measure']"
19,소음측정기,"['util', 'eleccom', 'measure']"
20,거리측정기,"['util', 'eleccom', 'measure']"
21,온습도계,"['util', 'eleccom', 'measure']"
22,적외선온도계,"['util', 'eleccom', 'measure']"
23,높이측정기,"['util', 'eleccom', 'measure']"
24,타이머,"['util', 'eleccom', 'measure']"
25,유수분 측정기,"['util', 'eleccom', 'measure']"
26,아두이노,"['util', 'elecpart']"
27,라즈베리 파이,"['util', 'elecpart']"
28,마이크로비트,"['util', 'elecpart']"
29,휴대용선풍기,"['util', 'exp', 'eleccom']"
30,스피커,"['hedonic', 'eleccom', 'music']"
31,디퓨저,"['hedonic', 'exp']"
32,기저귀,"['util', 'exp', 'kids']"
33,파우치,"['util', 'exp']"
34,운동화,"['util', 'exp']"
35,청소세제,"['util', 'exp', 'clean']"
36,로봇청소기,"['util', 'clean', 'eleccom']"
37,공기청정기,"['util', 'clean', 'eleccom']"
38,진공청소기,"['util', 'clean', 'eleccom']"
39,자외선차단제,"['util', 'exp']"
40,섬유유연제,"['exp', 'clean']"
41,가습기,"['util', 'exp']"
42,마우스패드,"['util', 'exp']"
